population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,25,0.1,0.1,0.1,0.1,8,44,7.5698,0.5599,0.5421,3.18,0.5227,578.4965,1892.5557,3,3
10,25,0.1,0.1,0.1,0.1,8,45,7.25,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.1,0.1,0.1,0.1,8,46,7.3754,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,25,0.1,0.1,0.1,0.1,12,42,9.7216,0.5599,0.5419,3.21,0.5227,577.8632,1894.11,3,3
10,25,0.1,0.1,0.1,0.1,12,43,10.1574,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.1,0.1,0.1,0.1,12,44,10.0329,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.1,0.1,0.1,0.1,12,45,10.9894,0.5599,0.5418,3.23,0.5226,577.7833,1894.3584,3,3
10,25,0.1,0.1,0.1,0.1,12,46,10.8048,0.5599,0.5419,3.21,0.5227,577.8632,1894.11,3,3
10,50,0.01,0.01,0.01,0.01,5,42,6.0512,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.01,0.01,0.01,0.01,5,43,6.1524,0.5599,0.5419,3.21,0.5227,578.4674,1892.6245,3,3
10,50,0.01,0.01,0.01,0.01,5,44,6.3673,0.5599,0.5421,3.18,0.5226,577.9503,1893.9012,3,3
10,50,0.01,0.01,0.01,0.01,5,45,6.6005,0.5599,0.5419,3.21,0.5227,578.5031,1892.2981,3,3
10,50,0.01,0.01,0.01,0.01,5,46,6.831,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.01,0.01,0.01,0.01,8,42,9.6804,0.5599,0.5422,3.16,0.5226,577.9782,1893.8217,3,3
